ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015
112,Latvia,LV,LVA,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,161.348238446034,181.151797242118,250.850636130084,194.562979747366,220.021837640889,215.761023595055,194.745225335433,232.445583380336
113,Lithuania,LT,LTU,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,83.7350966080743,75.2524625877554,55.6488790255376,66.6625465837514,67.9867771293921,63.6571137491604,72.2566204532018,66.311641797063,60.6343950550473,78.2391591992562
114,Lithuania,LT,LTU,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,179.364699461233,150.191204374646,134.976353357704,99.8144446177007,119.56907633315,121.944278471512,114.178390761877,129.602870116729,118.939677017111,108.756700460622,140.333432758742
115,Lithuania,LT,LTU,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,86.4398937834019,71.688280810754,51.0611029763764,62.6993874069615,60.2864656200622,50.6120906845599,53.3520504799106,50.9276982484981,46.5502580326876,60.8604920615493
116,Lithuania,LT,LTU,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,315.229053839563,272.483659313341,225.982289313589,160.959431792476,197.646685686167,190.040455167436,159.54401459336,168.181163931828,160.538901331008,146.739937956316,191.849953287724
117,Malaysia,MY,MYS,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,100,86.50842519,72.50169588,80.81675474,94.5074199,67.53571932,61.34995684,58.93346821,65.5952366,67.96082766
118,Malaysia,MY,MYS,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,335.9626511,290.6359987,243.5786196,271.5141117,317.5096334,226.894793,206.1129414,197.9944422,220.3754959,228.3229983
119,Malaysia,MY,MYS,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,100,86.972886805144,75.2776662128646,84.3803601344566,88.4518264705789,67.1958928922524,62.5699454908304,62.1470611166051,66.2647349042151,73.7738618267941
120,Malaysia,MY,MYS,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,690.790033400221,600.800033810391,520.010615574755,582.89111795604,611.016401619218,464.182530953967,432.226947354608,429.305704244652,457.750184377396,509.622484753944
121,Malta,MT,MLT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,100,93.28316,65.18055,56.96835,62.69881,48.42873
122,Malta,MT,MLT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,570.971885113181,532.620641008311,372.162594149249,325.27326744278,357.99257735573,276.514453500387
123,Malta,MT,MLT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,100,97.1999006235128,68.9337692788723,59.5422853515753,65.1968845871173,51.9276895862113
124,Malta,MT,MLT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,862.853623993494,838.692865048054,594.797526378063,513.762766964614,562.553681390797,448.059951450716
125,"Netherlands, The",NL,NLD,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,,,,,,100
126,"Netherlands, The",NL,NLD,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,,,,,,118.543779135647
127,"Netherlands, The",NL,NLD,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,,,,,,100
128,"Netherlands, The",NL,NLD,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,,,,,,190.230127909339
129,Peru,PE,PER,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,100,105.217641358119,117.921255289082,122.904087225077,113.766752590822,105.541781789638,85.8051761637624,93.244156862413,107.848407473515
130,Peru,PE,PER,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,189.276216549803,199.151970705588,223.196890519208,232.628206284695,215.333404995483,199.765491450676,162.408791046663,176.489012262939,204.131385275084
131,Peru,PE,PER,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,100,103.069955500165,113.905261024176,114.220467158482,107.060611423447,96.0692802656262,81.7821040374669,90.3420970988965,100.325887415176
132,Peru,PE,PER,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,298.141322895716,307.294128836216,339.598652065297,340.538411803966,319.191923198108,286.422223080331,243.826246869254,269.347123422382,299.112927946473
133,Philippines,PH,PHL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,71.8879154840707,88.1113344694,64.7587894187288,75.5578692710171,70.3255268921293,75.8913894817384,66.6632830558653,78.6188638938882,87.1929330322136,98.3183848730977
134,Philippines,PH,PHL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,343.329505518051,246.812424758694,302.512208939147,222.336031490798,259.412458948159,241.448283731712,260.557532238431,228.874720077801,269.921756650796,299.359065826184,337.556024618141
135,Philippines,PH,PHL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,74.8510204014504,79.919218301263,61.5466788896007,69.679686798388,64.1675955228427,63.8809481497568,58.1221113958897,67.2904715279522,74.0989689206809,82.0451349867103
136,Philippines,PH,PHL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,633.90579215155,474.484953809333,506.612553853948,390.147962358094,441.703570568041,406.762104703679,404.945030402637,368.439430659321,426.558196581779,469.717655912773,520.088862859314
137,Portugal,PT,PRT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,84.7159241266316,64.5345786225981,60.7598269478284,68.0642632924607,64.3272530589549,62.8158344757939,74.2089597214223,69.3398581316165,72.3157989613271,94.1203226145783
138,Portugal,PT,PRT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,142.791866197906,120.967449027219,92.1501291581625,86.7600907974222,97.1902317691608,91.8540851167311,89.6959023157737,105.964358472271,99.0116774451156,103.261078892805,134.396165132846
139,Portugal,PT,PRT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,82.6762863384701,65.1833285016802,60.2265217442174,65.9203735870041,59.100106916972,58.2614083995131,66.6575043531581,60.2960626109911,62.1734113321353,81.794702630469
140,Portugal,PT,PRT,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,322.381377382064,266.532950666299,210.138912247192,194.159090348316,212.515008345186,190.527738713207,187.823930880539,214.89138066222,194.383277152465,200.435499817954,263.690888965669
141,Slovak Rep.,SK,SVK,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,100,68.9417129654453,49.1803030991406,52.3121411069874,58.1830898941769,51.8209325713598,53.3386964459762,54.0664151186806,49.5641021701736,67.2573127700611
142,Slovak Rep.,SK,SVK,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,217.869710508011,150.203110457079,107.14898398906,113.972310390335,126.763329517059,112.902115775773,116.208863535595,117.794342101129,107.985165914052,146.533312627599
143,Slovak Rep.,SK,SVK,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,100,70.7381874328673,51.0394150530664,55.4384731388928,62.041900614343,56.9661693725705,57.2072456785822,55.718010290606,50.8279763798161,64.0444929105241
144,Slovak Rep.,SK,SVK,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,392.049358283978,277.328609892274,200.099699187443,217.346178183465,243.234873225715,223.335501464127,224.28063957482,218.442101792922,199.270755225801,251.086023471938
145,"Slovenia, Rep. of",SI,SVN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,100,88.5351441490396,79.930632232614,88.9346168111758,85.6756802757947,80.825174945319,99.4633724547797,93.014644044348,90.7269790339401,98.8879719596196
146,"Slovenia, Rep. of",SI,SVN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,133.43931577963,118.140690576988,106.658888749533,118.673744164069,114.325041549564,107.852560424723,132.723243655003,124.118104587637,121.065460050418,131.955433171269
